Complexity metrics,Qua, 13 dez 2017 16:15:53 BRST
Method,ev(G),iv(G),v(G)
"xml.parser.SAXParserImpl.Handler.error(SAXParseException)",1,2,2
"xml.parser.SAXParserImpl.Handler.externalEntityDecl(String,String,String)",2,1,2
"xml.parser.SAXParserImpl.Handler.fatalError(SAXParseException)",1,2,2
"xml.parser.SAXParserImpl.Handler.findTagStart(int)",3,2,3
"xml.parser.SAXParserImpl.Handler.getGrammarForNamespace(String)",1,1,1
"xml.parser.SAXParserImpl.Handler.grammarToCompletionInfo(Grammar)",2,3,4
"xml.parser.SAXParserImpl.Handler.internalEntityDecl(String,String)",2,1,2
"xml.parser.SAXParserImpl.Handler.resolveEntity(String,String)",2,4,4
"xml.parser.SAXParserImpl.Handler.setDocumentLocator(Locator)",1,1,1
"xml.parser.SAXParserImpl.Handler.startElement(String,String,String,Attributes)",4,5,8
"xml.parser.SAXParserImpl.Handler.startPrefixMapping(String,String)",1,1,1
"xml.parser.SAXParserImpl.Handler.warning(SAXParseException)",1,2,2
"xml.parser.SAXParserImpl.SAXParserImpl()",1,1,1
"xml.parser.SAXParserImpl.SAXParserImpl(String)",1,1,1
"xml.parser.SAXParserImpl.StoppedException.StoppedException()",1,1,1
"xml.parser.SAXParserImpl.parse(Buffer,DefaultErrorSource)",2,9,11
"xml.parser.SAXParserImpl.xsElementToElementDecl(CompletionInfo,XSElementDeclaration,ElementDecl)",2,6,9
"xml.parser.SAXParserImpl.xsTermToElementDecl(CompletionInfo,XSTerm,ElementDecl)",1,4,4
"xml.parser.TagParser.Tag.Tag(int,int)",1,1,1
"xml.parser.TagParser.Tag.toString()",5,2,5
"xml.parser.TagParser.findEndTag(String,Tag)",10,12,20
"xml.parser.TagParser.findLastOpenTag(String,int,XmlParsedData)",14,22,30
"xml.parser.TagParser.findStartTag(String,Tag)",11,15,23
"xml.parser.TagParser.getMatchingTag(String,Tag)",3,3,3
"xml.parser.TagParser.getTagAtOffset(String,int)",9,7,18
"xml.parser.TagParser.isInsideTag(String,int)",5,1,5
