Complexity metrics,Ter, 12 dez 2017 11:11:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.qpid.qmf2.common.SchemaProperty.getAccess()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getAttribute(String)",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getDesc()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getDirection()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getMax()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getMaxLen()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getMin()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getName()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getReference()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getSubtype()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getType()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.getUnit()",1,1,1
"org.apache.qpid.qmf2.common.SchemaProperty.isIndex()",1,2,2
"org.apache.qpid.qmf2.common.SchemaProperty.isOptional()",1,2,2
"org.apache.qpid.qmf2.common.SchemaProperty.listValues()",1,12,12
"org.apache.qpid.qmf2.common.SchemaProperty.updateHash(MessageDigest)",1,3,4
"org.apache.qpid.qmf2.common.WorkItem.WorkItem(WorkItemType,Handle,Object)",1,1,1
