Complexity metrics,Sex, 27 out 2017 13:55:11 BRST
Method,ev(G),iv(G),v(G)
"gnu.regexp.RE.getLocalizedMessage(String)",1,1,1
"gnu.regexp.RE.getMatch(Object)",1,1,1
"gnu.regexp.RE.getMatch(Object,int)",1,1,1
"gnu.regexp.RE.getMatch(Object,int,int)",1,1,1
"gnu.regexp.RE.getMatch(Object,int,int,StringBuffer)",1,1,1
"gnu.regexp.RE.getMatchEnumeration(Object)",1,1,1
"gnu.regexp.RE.getMatchEnumeration(Object,int)",1,1,1
"gnu.regexp.RE.getMatchEnumeration(Object,int,int)",1,1,1
"gnu.regexp.RE.getMatchImpl(CharIndexed,int,int,StringBuffer)",6,9,11
"gnu.regexp.RE.getMinMax(char[],int,IntPair,RESyntax)",12,20,21
"gnu.regexp.RE.getMinimumLength()",1,1,1
"gnu.regexp.RE.getNumSubs()",1,1,1
"gnu.regexp.RE.getPosixSet(char[],int,StringBuffer)",3,2,4
"gnu.regexp.RE.initialize(Object,int,RESyntax,int,int)",49,130,169
"gnu.regexp.RE.isMatch(Object)",1,1,1
"gnu.regexp.RE.isMatch(Object,int)",1,1,1
"gnu.regexp.RE.isMatch(Object,int,int)",1,1,1
"gnu.regexp.RE.isMatchImpl(CharIndexed,int,int)",5,4,5
"gnu.regexp.RE.makeCharIndexed(Object,int)",7,7,7
"gnu.regexp.RE.match(CharIndexed,REMatch)",2,2,2
"gnu.regexp.RE.setRepeated(REToken,int,int,int)",2,2,2
"gnu.regexp.RE.setUncle(REToken)",1,2,2
"gnu.regexp.RE.substitute(Object,String)",1,1,1
"gnu.regexp.RE.substitute(Object,String,int)",1,1,1
"gnu.regexp.RE.substitute(Object,String,int,int)",1,1,1
"gnu.regexp.RE.substituteAll(Object,String)",1,1,1
"gnu.regexp.RE.substituteAll(Object,String,int)",1,1,1
"gnu.regexp.RE.substituteAll(Object,String,int,int)",1,1,1
"gnu.regexp.RE.substituteAllImpl(CharIndexed,String,int,int)",3,5,6
"gnu.regexp.RE.substituteImpl(CharIndexed,String,int,int)",2,5,5
"gnu.regexp.RE.toString()",1,1,1
"gnu.regexp.RE.version()",1,1,1
"gnu.regexp.REException.REException(String,int,int)",1,1,1
"gnu.regexp.REException.getMessage()",1,1,1
"gnu.regexp.REException.getPosition()",1,1,1
"gnu.regexp.REException.getType()",1,1,1
"gnu.regexp.REFilterInputStream.REFilterInputStream(InputStream,RE,String)",1,1,1
"gnu.regexp.REFilterInputStream.markSupported()",1,1,1
"gnu.regexp.REFilterInputStream.read()",6,5,7
"gnu.regexp.REFilterInputStream.read(byte[])",1,1,1
"gnu.regexp.REFilterInputStream.read(byte[],int,int)",3,2,4
"gnu.regexp.REFilterReader.REFilterReader(Reader,RE,String)",1,1,1
"gnu.regexp.REFilterReader.markSupported()",1,1,1
"gnu.regexp.REFilterReader.read()",6,5,7
"gnu.regexp.REFilterReader.read(char[])",1,1,1
"gnu.regexp.REFilterReader.read(char[],int,int)",3,2,4
"gnu.regexp.REMatch.REMatch(int,int,int)",1,1,1
"gnu.regexp.REMatch.assignFrom(REMatch)",1,1,1
"gnu.regexp.REMatch.clear(int)",1,1,2
"gnu.regexp.REMatch.clone()",1,1,2
"gnu.regexp.REMatch.finish(CharIndexed)",1,2,4
"gnu.regexp.REMatch.getEndIndex()",1,1,1
"gnu.regexp.REMatch.getEndIndex(int)",2,1,3
"gnu.regexp.REMatch.getStartIndex()",1,1,1
"gnu.regexp.REMatch.getStartIndex(int)",2,1,3
"gnu.regexp.REMatch.getSubEndIndex(int)",2,1,3
"gnu.regexp.REMatch.getSubStartIndex(int)",2,1,3
"gnu.regexp.REMatch.substituteInto(String)",1,6,6
"gnu.regexp.REMatch.toString()",1,1,1
"gnu.regexp.REMatch.toString(int)",2,1,3
"gnu.regexp.REMatchEnumeration.REMatchEnumeration(RE,CharIndexed,int,int)",1,1,1
"gnu.regexp.REMatchEnumeration.hasMoreElements()",1,1,1
"gnu.regexp.REMatchEnumeration.hasMoreMatches()",1,1,1
"gnu.regexp.REMatchEnumeration.hasMoreMatches(StringBuffer)",1,3,5
"gnu.regexp.REMatchEnumeration.nextElement()",1,1,1
"gnu.regexp.REMatchEnumeration.nextMatch()",2,2,3
"gnu.regexp.RESyntax.RESyntax()",1,1,1
"gnu.regexp.RESyntax.RESyntax(RESyntax)",1,1,1
"gnu.regexp.RESyntax.clear(int)",2,1,2
"gnu.regexp.RESyntax.get(int)",1,1,1
"gnu.regexp.RESyntax.getLineSeparator()",1,1,1
"gnu.regexp.RESyntax.makeFinal()",1,1,1
