Complexity metrics,Ter, 24 out 2017 16:51:12 BRST
Method,ev(G),iv(G),v(G)
"com.android.ddmlib.AdbHelper.reboot(String,InetSocketAddress,Device)",1,3,3
"com.android.ddmlib.AdbHelper.removeForward(InetSocketAddress,Device,int,int)",2,3,3
"com.android.ddmlib.AdbHelper.replyToString(byte[])",1,2,2
"com.android.ddmlib.AdbHelper.runEventLogService(InetSocketAddress,Device,LogReceiver)",1,1,1
"com.android.ddmlib.AdbHelper.runLogService(InetSocketAddress,Device,String,LogReceiver)",5,7,10
"com.android.ddmlib.AdbHelper.setDevice(SocketChannel,IDevice)",3,2,3
"com.android.ddmlib.AdbHelper.write(SocketChannel,byte[])",1,1,1
"com.android.ddmlib.AdbHelper.write(SocketChannel,byte[],int,int)",5,5,8
"com.android.ddmlib.AllocationInfo.AllocationInfo(int,String,int,short,StackTraceElement[])",1,1,1
"com.android.ddmlib.AllocationInfo.AllocationSorter.AllocationSorter()",1,1,1
"com.android.ddmlib.AllocationInfo.AllocationSorter.compare(AllocationInfo,AllocationInfo)",2,2,9
"com.android.ddmlib.AllocationInfo.AllocationSorter.compareOptionalString(String,String)",4,3,4
